Time;Age;Gender;Education;CogSci;Native_Country;Current_Country;Years_Current;Order;Dilemma1;Dilemma2;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Q1;Q2;Q3;Q4;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Dilemma1;Dilemma2;;;;;;
03/05/2020 22.19.57;15;Female;Less then a high school diploma;No;Hungary;Hungary;15;January, February, March, April, May or June;Defect;Keep;5;4;6;4;4;4;4;4;5;4;4;4;3;4;4;4;4;4;4;4;4;3;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2020 22.26.42;25;Female;Bachelor's degree;No;Denmark;Denmark;25;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;1;1;6;6;3;3;2;3;2;1;3;4;1;4;1;1;2;1;2;3;2;1;4;1;Cooperate;Donate;;;;;;
03/05/2020 22.52.13;21;Male;High school degree or equivalent;No;Poland;Denmark;3;January, February, March, April, May or June;Defect;Donate;3;3;3;3;3;4;2;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2020 23.00.58;27;Female;Master´s degree;Yes;France;Denmark;3;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;2;3;4;6;4;3;3;3;4;3;4;5;5;5;5;4;5;3;5;5;4;4;5;5;Defect;Donate;;;;;;
04/05/2020 04.03.35;22;Female;Bachelor's degree;No;Poland;Denmark;1;January, February, March, April, May or June;Cooperate;Donate;5;5;5;4;6;6;3;3;4;3;4;4;4;2;3;2;2;4;5;5;3;2;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 07.45.51;30;Female;Bachelor's degree;No;Bulgaria;Denmark;11;January, February, March, April, May or June;Cooperate;Keep;5;4;3;3;5;2;3;5;3;4;5;5;4;3;3;5;3;4;2;5;3;5;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 08.02.45;30;Female;Bachelor's degree;No;Bulgaria;Denmark;11;January, February, March, April, May or June;Cooperate;Keep;5;4;3;3;5;2;3;5;3;4;5;5;4;3;3;5;3;4;2;5;3;5;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 08.42.03;65;Male;Master´s degree;No;Hungary;Denmark;10;January, February, March, April, May or June;Cooperate;Donate;5;5;2;2;6;4;4;3;3;4;5;4;4;4;4;5;4;5;4;5;5;6;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 08.42.15;23;Female;Bachelor's degree;Yes;Finland;Finland;22;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;4;4;2;4;4;3;4;4;5;5;4;5;5;4;5;5;3;3;5;3;4;4;5;4;Defect;Keep;;;;;;
04/05/2020 09.03.30;23;Female;Bachelor's degree;No;Denmark;Denmark;23;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;4;5;1;5;4;2;3;2;4;3;1;2;4;5;5;5;3;1;2;3;4;5;3;4;Defect;Keep;;;;;;
